A016360,삼성증권,KOSPI,"53,800","1,200",2.28%,"52,900","53,900","52,500","45,820","2,441,180,100",N
A267250,HD현대,KOSPI,"79,300","1,400",1.80%,"77,900","79,700","77,900","30,687","2,426,093,750",N
A462870,시프트업,KOSPI,"57,200","1,800",3.25%,"56,700","57,700","56,100","41,785","2,380,019,550",N
A032640,LG유플러스,KOSPI,"12,290",100,0.82%,"12,160","12,450","12,160","190,154","2,346,419,900",N
A050890,쏠리드,KOSDAQ,"7,380",160,2.22%,"7,210","7,400","7,210","316,505","2,324,042,995",N
A036930,주성엔지니어링,KOSDAQ,"34,400",350,1.03%,"34,050","34,900","33,850","67,033","2,313,513,675",N
A304100,솔트룩스,KOSDAQ,"30,450",350,1.16%,"30,200","30,750","30,100","74,778","2,270,211,900",N
A200350,아티스트스튜디오,KOSDAQ,"16,900",210,1.26%,"17,050","17,460","16,100","132,863","2,233,905,650",N
A066570,LG전자,KOSPI,"71,300",700,0.99%,"70,600","72,000","70,600","30,835","2,203,553,300",N
A065450,빅텍,KOSDAQ,"4,265",185,4.53%,"5,300","5,300","4,090","512,782","2,202,034,915",N
A298040,효성중공업,KOSPI,"509,000","2,000",0.39%,"500,000","524,000","500,000","4,222","2,158,297,500",N
A086280,현대글로비스,KOSPI,"105,400","2,100",1.95%,"107,700","108,000","105,400","20,132","2,143,494,150",N
A214420,토니모리,KOSPI,"9,140",140,1.51%,"9,340","9,490","9,070","229,686","2,137,067,410",N
A457190,이수스페셜티케미컬,KOSPI,"41,550","1,800",4.15%,"43,350","43,750","41,550","48,749","2,076,007,900",N
A047040,대우건설,KOSPI,"3,520",80,2.22%,"3,510","3,595","3,325","605,664","2,073,389,922",N
A075580,세진중공업,KOSPI,"9,260",410,4.63%,"8,910","9,300","8,890","225,534","2,062,197,480",N
A119850,지엔씨에너지,KOSDAQ,"23,500",500,2.17%,"23,000","24,100","22,700","85,629","2,013,971,025",N
A000880,한화,KOSPI,"49,050",150,0.31%,"48,900","49,550","48,600","40,721","2,001,989,100",N
A108490,로보티즈,KOSDAQ,"35,850","1,750",5.13%,"34,650","35,900","33,900","56,963","1,979,538,000",N
A022100,포스코DX,KOSPI,"24,450",150,0.62%,"24,400","24,750","24,200","77,754","1,902,776,100",N
A358570,지아이이노베이션,KOSDAQ,"14,300",110,0.76%,"14,850","14,850","13,920","133,934","1,902,506,275",N
A006910,보성파워텍,KOSDAQ,"2,800",185,6.20%,"2,675","2,815","2,530","690,110","1,874,836,218",N
A237690,에스티팜,KOSDAQ,"75,900","3,000",3.80%,"78,200","78,200","74,800","24,471","1,863,441,000",N
A041510,에스엠,KOSDAQ,"126,500","1,000",0.78%,"126,500","129,600","125,100","14,160","1,797,657,200",N
A055550,신한지주,KOSPI,"51,800",600,1.17%,"52,000","52,500","51,100","34,319","1,774,218,950",N
A234690,녹십자웰빙,KOSDAQ,"8,870",530,5.64%,"9,770","9,950","8,810","189,834","1,768,218,930",N
A263750,펄어비스,KOSDAQ,"36,600","1,200",3.39%,"36,500","37,450","36,100","48,124","1,762,930,350",N
A097230,HJ중공업,KOSPI,"7,760",20,0.26%,"7,850","7,890","7,670","221,200","1,722,392,830",N
A089030,테크윙,KOSDAQ,"34,800",400,1.16%,"34,300","34,950","34,200","48,161","1,666,491,150",N
A036460,한국가스공사,KOSPI,"38,250",0,0%,"38,300","38,700","38,250","42,654","1,637,658,725",N
A253450,스튜디오드래곤,KOSDAQ,"51,900",300,0.57%,"53,000","53,000","49,950","32,021","1,629,367,850",N
A011790,SKC,KOSPI,"100,700",900,0.89%,"101,600","102,500","100,300","15,690","1,589,699,800",N
A014620,성광벤드,KOSDAQ,"28,000",250,0.90%,"27,750","28,500","27,250","56,932","1,585,384,650",N
A214260,라파스,KOSDAQ,"17,910","1,900",9.59%,"19,810","19,810","17,880","84,204","1,571,664,035",N
A001440,대한전선,KOSPI,"11,740",20,0.17%,"11,760","11,900","11,670","133,409","1,569,238,140",N
A028050,삼성E&A,KOSPI,"19,440",380,1.99%,"19,060","19,540","19,060","80,918","1,566,859,645",N
A041190,우리기술투자,KOSDAQ,"6,790",130,1.88%,"6,920","7,020","6,770","227,044","1,562,729,655",N
